plant_name,JS_ID,plant_num,PI_num,img_date,voxel_len,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14
,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-281-JS39-65_2018-04-11_12-09-35_9968800,JS39,281,PI_533911,2018-04-11,4cm,-110.521,38.1509,-120.916,34.0731,-116.754,43.5362,-151.098,-2.32713,,,,,,,
4-9-18_Schnable_49-281-JS39-65_2018-04-13_12-09-31_10081800,JS39,281,PI_533911,2018-04-13,4cm,-173.677,-6.03915,-176.488,-155.514,-37.0246,-50.6771,60.8196,1.42536,,,,,,,
4-9-18_Schnable_49-281-JS39-65_2018-04-16_12-09-33_10268800,JS39,281,PI_533911,2018-04-16,4cm,-145.634,-15.5529,-166.349,-151.147,-85.1643,-18.6028,-178.812,45.7214,165.812,,,,,,
4-9-18_Schnable_49-282-js254-408_2018-04-11_12-10-49_9968900,JS254,282,PI_656108,2018-04-11,4cm,93.156,8.01309,157.159,40.7814,41.4586,-161.504,2.68444,,,,,,,,
4-9-18_Schnable_49-282-js254-408_2018-04-13_12-10-46_10081900,JS254,282,PI_656108,2018-04-13,4cm,-157.687,-9.46577,151.978,-21.6368,-6.89373,-176.713,-172.27,161.928,-138.431,,,,,,
4-9-18_Schnable_49-282-js254-408_2018-04-16_12-10-48_10268900,JS254,282,PI_656108,2018-04-16,4cm,-146.205,-26.6954,130.679,-55.7651,-10.3053,5.40974,23.3557,105.3,-96.9783,,,,,,
4-9-18_Schnable_49-283-js254-408_2018-04-11_12-12-29_9969000,JS254,283,PI_656108,2018-04-11,4cm,49.9658,100.961,17.4174,-13.6205,-80.277,-23.4638,,,,,,,,,
4-9-18_Schnable_49-283-js254-408_2018-04-13_12-12-25_10082000,JS254,283,PI_656108,2018-04-13,4cm,-15.6249,75.3028,31.1619,-20.9614,-7.20945,-141.022,91.3961,,,,,,,,
4-9-18_Schnable_49-283-js254-408_2018-04-16_12-12-27_10269000,JS254,283,PI_656108,2018-04-16,4cm,-170.563,126.8,30.4078,27.3361,-110.274,-21.5156,148.577,,,,,,,,
4-9-18_Schnable_49-284-js165-237_2018-04-11_12-14-09_9969100,JS165,284,PI_597968,2018-04-11,4cm,7.87468,-178.083,9.25403,178.355,-6.28013,-157.729,-104.384,,,,,,,,
4-9-18_Schnable_49-284-js165-237_2018-04-13_12-14-04_10082100,JS165,284,PI_597968,2018-04-13,4cm,-16.0098,172.127,-10.3546,159.683,-7.7733,176.536,-65.3263,,,,,,,,
4-9-18_Schnable_49-284-js165-237_2018-04-16_12-14-07_10269100,JS165,284,PI_597968,2018-04-16,4cm,142.546,-29.627,133.1,-33.166,127.612,173.765,-74.4328,,,,,,,,
4-9-18_Schnable_49-285-JS147-2-214_2018-04-11_12-16-48_9969200,JS147,285,PI_595739,2018-04-11,4cm,-19.6741,-114.31,-5.80749,-162.959,14.6483,19.3438,-155.028,2.06964,,,,,,,
4-9-18_Schnable_49-285-JS147-2-214_2018-04-13_12-16-42_10082200,JS147,285,PI_595739,2018-04-13,4cm,-29.4484,-138.302,-26.6758,-158.893,-10.7389,-158.303,21.4291,-120.985,,,,,,,
4-9-18_Schnable_49-285-JS147-2-214_2018-04-16_12-16-50_10269200,JS147,285,PI_595739,2018-04-16,4cm,13.0216,-46.0669,-37.8838,-133.042,-31.0559,44.8225,-26.9029,-168.552,-22.4539,172.901,23.5594,-50.4893,-23.5108,67.3441,-57.8721
4-9-18_Schnable_49-286-js259-417_2018-04-11_12-19-03_9969300,JS259,286,PI_656116,2018-04-11,4cm,9.2214,118.305,-62.4939,141.932,-38.7291,120.69,-23.9979,114.821,,,,,,,
4-9-18_Schnable_49-286-js259-417_2018-04-13_12-18-57_10082300,JS259,286,PI_656116,2018-04-13,4cm,,,,,,,,,,,,,,,
4-9-18_Schnable_49-286-js259-417_2018-04-16_12-18-59_10269300,JS259,286,PI_656116,2018-04-16,4cm,68.9165,152.579,161.75,-36.7479,134.721,59.8108,20.9537,5.46283,1.3428,83.9036,125.597,54.7708,-173.63,,
4-9-18_Schnable_49-287-js41-1-68_2018-04-11_12-21-17_9969400,JS41,287,PI_533915,2018-04-11,4cm,3.17289,177.248,177.204,10.6993,-165.38,20.6757,101.754,,,,,,,,
4-9-18_Schnable_49-287-js41-1-68_2018-04-13_12-21-10_10082400,JS41,287,PI_533915,2018-04-13,4cm,17.5363,-179.378,175.364,15.9017,-164.56,44.3825,-168.56,,,,,,,,
4-9-18_Schnable_49-287-js41-1-68_2018-04-16_12-21-12_10269400,JS41,287,PI_533915,2018-04-16,4cm,25.9158,178.3,170.834,168.005,14.1637,-165.764,21.376,-165.437,-38.69,,,,,,
4-9-18_Schnable_49-288-js224-354_2018-04-11_12-23-30_9969500,JS224,288,PI_656056,2018-04-11,4cm,-4.70257,-112.474,-11.5151,-117.076,-2.20754,171.856,44.2739,-175.104,,,,,,,
4-9-18_Schnable_49-288-js224-354_2018-04-13_12-23-23_10082500,JS224,288,PI_656056,2018-04-13,4cm,-54.2205,-44.4549,69.183,-24.5495,56.3985,-114.223,65.4684,-163.343,103.111,,,,,,
4-9-18_Schnable_49-288-js224-354_2018-04-16_12-23-25_10269500,JS224,288,PI_656056,2018-04-16,4cm,-59.9074,-66.8191,-120.756,-141.883,-17.0149,175.791,170.745,83.6387,101.525,64.5459,146.87,,,,
4-9-18_Schnable_49-289-JS254-408_2018-04-11_12-25-45_9969600,JS254,289,PI_656108,2018-04-11,4cm,-91.5558,59.1645,64.7278,174.495,8.44066,3.54232,-172.794,-44.9706,,,,,,,
4-9-18_Schnable_49-289-JS254-408_2018-04-13_12-25-37_10082600,JS254,289,PI_656108,2018-04-13,4cm,-76.6214,64.1033,110.851,119.632,-23.6354,150.041,-142.42,-38.0843,,,,,,,
4-9-18_Schnable_49-289-JS254-408_2018-04-16_12-25-38_10269600,JS254,289,PI_656108,2018-04-16,4cm,-25.0184,37.1022,134.586,13.3242,70.567,32.5553,-27.4244,-19.8927,-155.786,,,,,,
4-9-18_Schnable_49-290-js12-3-22_2018-04-11_12-27-58_9969700,JS12,290,PI_533769,2018-04-11,4cm,-1.44387,-177.933,8.19699,-168.904,-13.2397,,,,,,,,,,
4-9-18_Schnable_49-290-js12-3-22_2018-04-13_12-27-50_10082700,JS12,290,PI_533769,2018-04-13,4cm,5.33757,168.746,2.21685,-170.09,-23.6624,-163.334,,,,,,,,,
4-9-18_Schnable_49-290-js12-3-22_2018-04-16_12-27-52_10269700,JS12,290,PI_533769,2018-04-16,4cm,-4.25629,-156.352,44.9134,-126.786,36.9866,-85.8361,73.6665,,,,,,,,
4-9-18_Schnable_49-291-js126-185_2018-04-11_12-30-10_9969800,JS126,291,PI_576376,2018-04-11,4cm,89.8284,9.54982,80.2923,-45.3325,132.656,-3.84393,-45.3345,132.041,-66.8101,154.951,,,,,
4-9-18_Schnable_49-291-js126-185_2018-04-13_12-30-04_10082800,JS126,291,PI_576376,2018-04-13,4cm,117.303,44.8165,121.716,77.8137,-66.2425,25.4883,55.3813,176.996,143.78,-106.198,-34.2128,-32.6576,,,
4-9-18_Schnable_49-292-js197-306_2018-04-11_12-32-24_9969900,JS197,292,PI_656010,2018-04-11,4cm,13.5505,-167.211,-171.141,0.459343,-163.341,0.693241,,,,,,,,,
4-9-18_Schnable_49-292-js197-306_2018-04-13_12-32-18_10082900,JS197,292,PI_656010,2018-04-13,4cm,-176.747,-171.916,44.6092,-163.728,55.8102,-50.4517,-148.664,,,,,,,,
4-9-18_Schnable_49-292-js197-306_2018-04-16_12-32-21_10269900,JS197,292,PI_656010,2018-04-16,4cm,-169.985,70.8983,-178.737,150.272,-175.179,87.2515,-142.82,52.0846,-170.953,,,,,,
4-9-18_Schnable_49-293-JS235-376_2018-04-11_12-34-43_9970000,JS235,293,PI_656076,2018-04-11,4cm,-10.2602,-176.955,-12.1139,-168.784,-8.31455,-164.86,-23.6679,,,,,,,,
4-9-18_Schnable_49-293-JS235-376_2018-04-13_12-34-31_10083000,JS235,293,PI_656076,2018-04-13,4cm,-19.417,162.063,-13.8786,-175.036,-24.7442,-161.621,-38.3115,167.931,,,,,,,
4-9-18_Schnable_49-293-JS235-376_2018-04-16_12-34-34_10270000,JS235,293,PI_656076,2018-04-16,4cm,50.6104,-139.772,65.5524,-112.047,52.1416,-125.082,-154.787,17.0145,-91.411,45.259,,,,,
4-9-18_Schnable_49-295-JS66-95_2018-04-11_12-39-06_9970200,JS66,295,PI_533980,2018-04-11,4cm,-167.746,19.1921,-173.311,9.4387,-161.265,-9.0107,87.031,-174.376,-33.9558,,,,,,
4-9-18_Schnable_49-295-JS66-95_2018-04-13_12-38-58_10083200,JS66,295,PI_533980,2018-04-13,4cm,94.2104,-65.8011,96.0056,-66.2192,111.114,-107.428,104.48,-117.673,112.713,,,,,,
4-9-18_Schnable_49-295-JS66-95_2018-04-16_12-39-00_10270200,JS66,295,PI_533980,2018-04-16,4cm,,,,,,,,,,,,,,,
4-9-18_Schnable_49-296-JS214-336_2018-04-11_12-41-20_9970300,JS214,296,PI_656039,2018-04-11,4cm,165.075,-11.4923,-179.329,-38.5789,-100.337,174.467,177.346,29.9385,,,,,,,
4-9-18_Schnable_49-296-JS214-336_2018-04-13_12-41-11_10083300,JS214,296,PI_656039,2018-04-13,4cm,-88.0058,100.457,-63.9847,87.7616,-57.7007,103.632,116.434,-107.971,-51.9431,,,,,,
4-9-18_Schnable_49-297-JS3-11_2018-04-11_12-43-34_9970400,JS3,297,PI_533750,2018-04-11,4cm,-42.2035,159.449,-42.6452,147.4,-47.6463,172.502,-1.5576,,,,,,,,
4-9-18_Schnable_49-297-JS3-11_2018-04-13_12-43-25_10083400,JS3,297,PI_533750,2018-04-13,4cm,-15.4895,-165.514,-17.7179,-150.055,5.86052,-164.014,21.1355,,,,,,,,
4-9-18_Schnable_49-297-JS3-11_2018-04-16_12-43-27_10270400,JS3,297,PI_533750,2018-04-16,4cm,-57.782,159.338,-53.931,161.629,-33.39,146.576,-42.3278,-176.102,,,,,,,
4-9-18_Schnable_49-298-JS238-379_2018-04-11_12-45-46_9970500,JS238,298,PI_656079,2018-04-11,4cm,-26.7788,176.5,3.3046,-165.119,12.9178,169.264,15.4448,,,,,,,,
4-9-18_Schnable_49-298-JS238-379_2018-04-13_12-45-39_10083500,JS238,298,PI_656079,2018-04-13,4cm,-23.7177,-177.441,4.03747,172.183,2.05487,-37.3364,-169.511,137.988,,,,,,,
4-9-18_Schnable_49-298-JS238-379_2018-04-16_12-45-41_10270500,JS238,298,PI_656079,2018-04-16,4cm,121.674,-14.2356,159.268,-20.7775,143.619,-54.8396,1.83464,160.869,40.1881,,,,,,
4-9-18_Schnable_49-299-js294-413_2018-04-11_12-48-00_9970600,JS294,299,PI_656112,2018-04-11,4cm,-15.7779,-130.56,-11.1854,179.152,0.730027,149.328,-8.66446,,,,,,,,
4-9-18_Schnable_49-299-js294-413_2018-04-13_12-47-54_10083600,JS294,299,PI_656112,2018-04-13,4cm,15.5156,-92.0885,13.3534,-145.801,9.35402,26.7426,-179.589,,,,,,,,
4-9-18_Schnable_49-299-js294-413_2018-04-16_12-47-55_10270600,JS294,299,PI_656112,2018-04-16,4cm,55.9102,-17.8775,-146.2,-13.7189,-176.811,-40.5632,149.916,-145.99,-34.4985,146.269,,,,,
4-9-18_Schnable_49-300-js124-183_2018-04-11_12-50-13_9970700,JS124,300,PI_576373,2018-04-11,4cm,-20.1939,174.17,-18.1524,161.392,-5.28598,174.137,-19.3877,170.184,8.18678,,,,,,
4-9-18_Schnable_49-300-js124-183_2018-04-13_12-50-08_10083700,JS124,300,PI_576373,2018-04-13,4cm,-10.5404,0.657421,-167.667,4.95465,172.769,8.70492,-178.902,2.01422,-173.591,71.4409,,,,,
4-9-18_Schnable_49-300-js124-183_2018-04-16_12-50-09_10270700,JS124,300,PI_576373,2018-04-16,4cm,122.652,133.193,-18.8055,51.4061,175.919,-21.4251,31.6792,160.352,170.701,65.475,-131.431,,,,
4-9-18_Schnable_49-301-js83-120_2018-04-11_12-52-27_9970800,JS83,301,PI_534097,2018-04-11,4cm,133.347,0.0410111,156.972,-19.2387,146.089,-15.6495,147.527,,,,,,,,
4-9-18_Schnable_49-301-js83-120_2018-04-13_12-52-21_10083800,JS83,301,PI_534097,2018-04-13,4cm,-15.021,-124.736,20.3519,-149.359,22.938,-169.34,10.3881,,,,,,,,
4-9-18_Schnable_49-301-js83-120_2018-04-16_12-52-23_10270800,JS83,301,PI_534097,2018-04-16,4cm,119.208,31.4666,169.83,-13.0307,158.701,-3.27523,-173.938,-29.1184,,,,,,,
4-9-18_Schnable_49-303-JS33-2-57_2018-04-11_12-56-54_9971000,JS33,303,PI_533877,2018-04-11,4cm,-12.8268,-176.295,-6.49993,173.494,-40.2803,147.595,-162.056,17.9766,,,,,,,
4-9-18_Schnable_49-303-JS33-2-57_2018-04-13_12-56-48_10084000,JS33,303,PI_533877,2018-04-13,4cm,13.4603,-135.828,24.2844,-143.761,1.18156,-137.575,65.5589,-156.733,,,,,,,
4-9-18_Schnable_49-303-JS33-2-57_2018-04-16_12-56-50_10271000,JS33,303,PI_533877,2018-04-16,4cm,14.3688,-141.289,23.8506,-132.588,16.5443,-126.187,23.539,-161.75,-14.0936,,,,,,
4-9-18_Schnable_49-304-JS152-220_2018-04-11_12-59-08_9971100,JS152,304,PI_597945,2018-04-11,4cm,-153.648,6.60163,171.155,18.2182,6.88579,112.329,-38.728,12.3085,129.928,-155.67,97.3149,159.34,,,
4-9-18_Schnable_49-304-JS152-220_2018-04-13_12-59-02_10084100,JS152,304,PI_597945,2018-04-13,4cm,-94.4004,16.61,-92.9942,23.0454,-85.8675,15.0303,-125.489,4.94753,144.75,67.8223,-7.16968,83.6088,91.5552,84.532,78.0728
4-9-18_Schnable_49-304-JS152-220_2018-04-16_12-59-03_10271100,JS152,304,PI_597945,2018-04-16,4cm,-97.8647,2.16313,-126.502,4.34394,-92.2207,-71.4952,-56.2915,11.8188,118.519,-126.836,-152.08,103.68,-157.922,60.7031,3.06619
4-9-18_Schnable_49-305-JS190-298_2018-04-11_01-01-22_9971200,JS190,305,PI_656002,2018-04-11,4cm,-178.256,37.1153,-165.382,,,,,,,,,,,,
4-9-18_Schnable_49-305-JS190-298_2018-04-13_01-01-16_10084200,JS190,305,PI_656002,2018-04-13,4cm,-173.113,-166.151,157.174,,,,,,,,,,,,
4-9-18_Schnable_49-305-JS190-298_2018-04-16_01-01-17_10271200,JS190,305,PI_656002,2018-04-16,4cm,135.215,171.401,-6.37272,-159.042,151.781,-33.1222,,,,,,,,,
4-9-18_Schnable_49-306-JS174-2-252_2018-04-11_01-03-35_9971300,JS174,306,PI_629059,2018-04-11,4cm,-62.7519,119.469,-51.3366,-76.4667,-138.444,117.83,-30.649,121.284,-88.477,-23.0915,,,,,
4-9-18_Schnable_49-306-JS174-2-252_2018-04-13_01-03-30_10084300,JS174,306,PI_629059,2018-04-13,4cm,19.0596,-160.182,19.3377,-159.93,23.6917,-151.221,-36.8674,-168.602,,,,,,,
4-9-18_Schnable_49-306-JS174-2-252_2018-04-16_01-03-30_10271300,JS174,306,PI_629059,2018-04-16,4cm,-53.019,146.572,-43.5371,129.774,-19.2811,125.8,-61.2249,103.324,,,,,,,
4-9-18_Schnable_49-307-js274-55_2018-04-11_01-05-48_9971400,JS274,307,PI_533871,2018-04-11,4cm,169.239,18.6525,178.539,19.1461,-153.53,22.8368,-164.632,35.6926,,,,,,,
4-9-18_Schnable_49-307-js274-55_2018-04-13_01-05-43_10084400,JS274,307,PI_533871,2018-04-13,4cm,25.2072,174.622,167.647,52.5358,-150.408,16.8595,-138.684,31.9987,-157.71,,,,,,
4-9-18_Schnable_49-307-js274-55_2018-04-16_01-05-44_10271400,JS274,307,PI_533871,2018-04-16,4cm,158.032,21.5889,164.773,37.3394,176.464,-1.48382,175.679,130.84,12.9316,-161.097,-28.916,,,,
4-9-18_Schnable_49-308-js23-1-38_2018-04-11_01-08-04_9971500,JS23,308,PI_533830,2018-04-11,4cm,-130.826,-111.023,75.8854,96.6567,-91.4566,-108.773,58.973,-81.4651,48.5865,,,,,,
4-9-18_Schnable_49-308-js23-1-38_2018-04-13_01-07-57_10084500,JS23,308,PI_533830,2018-04-13,4cm,-62.4486,154.678,159.449,-35.3681,-10.4804,-34.4856,146.309,-43.5929,33.6067,4.09614,122.857,,,,
4-9-18_Schnable_49-308-js23-1-38_2018-04-16_01-07-59_10271500,JS23,308,PI_533830,2018-04-16,4cm,-27.1408,-3.9501,-160.852,162.206,7.57032,-154.711,-175.977,16.7765,54.7028,-34.7524,-104.43,127.374,50.0912,159.279,150.916
4-9-18_Schnable_49-309-JS122-179_2018-04-11_01-10-16_9971600,JS122,309,PI_576359,2018-04-11,4cm,109.844,-36.3474,147.989,-155.151,-40.8138,115.518,-3.8916,127.345,-93.9809,,,,,,
4-9-18_Schnable_49-309-JS122-179_2018-04-13_01-10-10_10084600,JS122,309,PI_576359,2018-04-13,4cm,18.6922,-167.465,48.2694,-140.054,30.0928,-135.507,38.5385,-171.707,,,,,,,
4-9-18_Schnable_49-309-JS122-179_2018-04-16_01-10-12_10271600,JS122,309,PI_576359,2018-04-16,4cm,121.129,-64.5076,153.923,-34.8844,139.396,-25.0094,159.943,-12.8456,113.632,,,,,,
4-9-18_Schnable_49-310-JS201-314_2018-04-11_01-12-29_9971700,JS201,310,PI_656018,2018-04-11,4cm,21.2596,-177.733,164.448,8.21609,2.59372,149.853,173.232,1.98203,,,,,,,
4-9-18_Schnable_49-310-JS201-314_2018-04-13_01-12-23_10084700,JS201,310,PI_656018,2018-04-13,4cm,-153.397,38.0106,-34.5708,-98.9415,-170.253,26.0606,-174.372,38.0218,-22.5034,-178.315,39.0334,,,,
4-9-18_Schnable_49-310-JS201-314_2018-04-16_01-12-25_10271700,JS201,310,PI_656018,2018-04-16,4cm,35.6714,33.4468,-123.384,33.1458,-20.3343,97.1175,-143.52,42.7815,-131.655,30.7487,-132.422,27.0521,,,
4-9-18_Schnable_49-311-JS47-76_2018-04-11_01-14-42_9971800,JS47,311,PI_533938,2018-04-11,4cm,12.0173,-133.475,-112.418,4.69799,,,,,,,,,,,
4-9-18_Schnable_49-311-JS47-76_2018-04-13_01-14-36_10084800,JS47,311,PI_533938,2018-04-13,4cm,54.1561,-138.373,-143.431,1.98668,,,,,,,,,,,
4-9-18_Schnable_49-311-JS47-76_2018-04-16_01-14-38_10271800,JS47,311,PI_533938,2018-04-16,4cm,26.6444,175.78,-23.1338,-33.0379,162.537,,,,,,,,,,
4-9-18_Schnable_49-312-JS93-1-130_2018-04-11_01-16-55_9971900,JS93,312,PI_534117,2018-04-11,4cm,177.402,-120.248,-29.4621,-172.322,8.05509,172.461,,,,,,,,,
4-9-18_Schnable_49-312-JS93-1-130_2018-04-13_01-16-49_10084900,JS93,312,PI_534117,2018-04-13,4cm,-149.97,-100.967,-142.375,-11.7083,-162.657,-12.0459,19.9693,36.7963,-76.973,,,,,,
4-9-18_Schnable_49-312-JS93-1-130_2018-04-16_01-16-53_10271900,JS93,312,PI_534117,2018-04-16,4cm,-167.332,-150.736,123.935,-135.631,-1.04742,178.524,-137.332,-1.43914,-173.883,-11.8182,176.971,,,,
4-9-18_Schnable_49-313-JS49-2-78_2018-04-11_01-19-08_9972000,JS49,313,PI_533940,2018-04-11,4cm,168.198,-11.4918,138.428,-55.9601,-10.3295,131.857,-9.61773,150.897,-16.1458,-162.745,,,,,
4-9-18_Schnable_49-313-JS49-2-78_2018-04-13_01-19-04_10085000,JS49,313,PI_533940,2018-04-13,4cm,-166.002,9.73217,161.162,5.34842,168.137,14.1567,171.797,-9.01072,-176.068,16.3544,,,,,
4-9-18_Schnable_49-313-JS49-2-78_2018-04-16_01-19-07_10272000,JS49,313,PI_533940,2018-04-16,4cm,-3.30177,179.537,-36.4407,171.967,-25.8982,-174.443,-30.0105,-178.847,-23.883,-157.089,,,,,
4-9-18_Schnable_49-314-JS210-330_2018-04-11_01-21-22_9972100,JS210,314,PI_656033,2018-04-11,4cm,64.431,179.097,-143.124,149.382,37.2025,174.427,-123.461,63.8907,-70.4815,,,,,,
4-9-18_Schnable_49-314-JS210-330_2018-04-13_01-21-17_10085100,JS210,314,PI_656033,2018-04-13,4cm,72.288,105.539,148.695,121.55,-31.1903,-179.509,-146.389,-57.4568,13.3587,24.479,139.677,-147.836,,,
4-9-18_Schnable_49-314-JS210-330_2018-04-16_01-21-20_10272100,JS210,314,PI_656033,2018-04-16,4cm,94.1902,-173.67,43.9007,64.505,-166.023,140.145,82.1772,-19.3431,-164.343,-140.905,2.71141,-76.8548,,,
4-9-18_Schnable_49-315-JS81-2-113_2018-04-11_01-23-35_9972200,JS81,315,PI_534070,2018-04-11,4cm,-141.119,0.176751,-138.81,23.678,-142.879,114.713,-139.352,,,,,,,,
4-9-18_Schnable_49-315-JS81-2-113_2018-04-13_01-23-31_10085200,JS81,315,PI_534070,2018-04-13,4cm,81.8637,-101.317,74.3861,-75.812,108.755,-81.3745,69.7844,,,,,,,,
4-9-18_Schnable_49-315-JS81-2-113_2018-04-16_01-23-33_10272200,JS81,315,PI_534070,2018-04-16,4cm,-36.7789,157.974,-10.794,179.82,67.8687,-167.709,88.2985,,,,,,,,
